,MonitoringLocationIdentifier,ActivityStartDate,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure,CountyCode,County FIPS Code,County Name,Year,Date,Month
0,USGS-06888990,2021-09-07,Arsenic,0.004900000000000001,mg/L,Stream,39.07194435,-95.7163715,177,177,Shawnee,2021,2021-09-07,9
1,USGS-06892350,2021-04-20,Arsenic,0.004,mg/L,Stream,38.9833375,-94.9646893,103,103,Leavenworth,2021,2021-04-20,4
2,USGS-07144100,2021-03-30,Arsenic,0.0046,mg/L,Stream,37.88306739,-97.4244864,173,173,Sedgwick,2021,2021-03-30,3
3,USGS-07144100,2021-11-15,Arsenic,0.0053,mg/L,Stream,37.88306739,-97.4244864,173,173,Sedgwick,2021,2021-11-15,11
4,USGS-06887500,2021-08-17,Arsenic,0.0074,mg/L,Stream,39.19833014,-96.3055532,149,149,Pottawatomie,2021,2021-08-17,8
5,USGS-07144100,2021-08-11,Arsenic,0.0058,mg/L,Stream,37.88306739,-97.4244864,173,173,Sedgwick,2021,2021-08-11,8
6,USGS-07144100,2021-10-28,Arsenic,0.0023,mg/L,Stream,37.88306739,-97.4244864,173,173,Sedgwick,2021,2021-10-28,10
7,USGS-06888990,2021-10-18,Arsenic,0.0048,mg/L,Stream,39.07194435,-95.7163715,177,177,Shawnee,2021,2021-10-18,10
8,USGS-06892350,2021-05-18,Arsenic,0.0022,mg/L,Stream,38.9833375,-94.9646893,103,103,Leavenworth,2021,2021-05-18,5
9,USGS-375350097262800,2021-01-27,Arsenic,0.0036000000000000003,mg/L,Stream,37.89713889,-97.4411111,173,173,Sedgwick,2021,2021-01-27,1
10,USGS-06888990,2021-06-21,Arsenic,0.0054,mg/L,Stream,39.07194435,-95.7163715,177,177,Shawnee,2021,2021-06-21,6
11,USGS-375350097262800,2021-04-14,Arsenic,0.005200000000000001,mg/L,Stream,37.89713889,-97.4411111,173,173,Sedgwick,2021,2021-04-14,4
12,USGS-375350097262800,2021-10-29,Arsenic,0.0026000000000000003,mg/L,Stream,37.89713889,-97.4411111,173,173,Sedgwick,2021,2021-10-29,10
13,USGS-382947100443201,2021-03-31,Arsenic,0.0063,mg/L,Well,38.4963333,-100.7421667,171,171,Scott,2021,2021-03-31,3
14,USGS-06887500,2021-10-18,Arsenic,0.005,mg/L,Stream,39.19833014,-96.3055532,149,149,Pottawatomie,2021,2021-10-18,10
15,USGS-07144100,2021-07-08,Arsenic,0.0086,mg/L,Stream,37.88306739,-97.4244864,173,173,Sedgwick,2021,2021-07-08,7
16,USGS-07144100,2021-05-17,Arsenic,0.0032,mg/L,Stream,37.88306739,-97.4244864,173,173,Sedgwick,2021,2021-05-17,5
17,USGS-374650100181901,2021-05-05,Arsenic,0.0011,mg/L,Well,37.7805,-100.3053889,69,69,Gray,2021,2021-05-05,5
18,USGS-07143672,2021-04-15,Arsenic,0.0046,mg/L,Stream,38.02853056,-97.5405417,79,79,Harvey,2021,2021-04-15,4
19,USGS-370458101514401,2021-04-14,Arsenic,0.002,mg/L,Well,37.08275,-101.8621111,129,129,Morton,2021,2021-04-14,4
20,USGS-07143672,2021-05-11,Arsenic,0.0070999999999999995,mg/L,Stream,38.02853056,-97.5405417,79,79,Harvey,2021,2021-05-11,5
21,USGS-373527100312701,2021-05-04,Arsenic,0.0028,mg/L,Well,37.59080556,-100.5240833,69,69,Gray,2021,2021-05-04,5
22,USGS-07144100,2021-01-27,Arsenic,0.0035,mg/L,Stream,37.88306739,-97.4244864,173,173,Sedgwick,2021,2021-01-27,1
23,USGS-07144100,2021-02-03,Arsenic,0.003,mg/L,Stream,37.88306739,-97.4244864,173,173,Sedgwick,2021,2021-02-03,2
24,USGS-07143672,2021-02-02,Arsenic,0.0028,mg/L,Stream,38.02853056,-97.5405417,79,79,Harvey,2021,2021-02-02,2
25,USGS-07143672,2021-05-18,Arsenic,0.003,mg/L,Stream,38.02853056,-97.5405417,79,79,Harvey,2021,2021-05-18,5
