County Name,Income 2020,Income 2021,Income 2022,Rank in State 2022,Percent Change 2021,Percent Change 2022,Rank of Percent Change 2022,State
Allen,44503,48367.0,46726.0,81,8.7,-3.4,45,Kansas
Anderson,44783,54564.0,47195.0,76,21.8,-13.5,91,Kansas
Atchison,41948,44558.0,42910.0,98,6.2,-3.7,48,Kansas
Barber,49767,54329.0,50519.0,53,9.2,-7.0,63,Kansas
Barton,50775,53073.0,55270.0,34,4.5,4.1,5,Kansas
Bourbon,45170,48308.0,49749.0,58,6.9,3.0,10,Kansas
Brown,48624,51797.0,47205.0,75,6.5,-8.9,73,Kansas
Butler,50073,52247.0,53632.0,40,4.3,2.7,14,Kansas
Chase,57674,60498.0,59348.0,19,4.9,-1.9,37,Kansas
Chautauqua,41423,43868.0,41861.0,100,5.9,-4.6,55,Kansas
Cherokee,47248,51304.0,52464.0,46,8.6,2.3,15,Kansas
Cheyenne,55686,66687.0,54530.0,37,19.8,-18.2,101,Kansas
Clark,57388,55860.0,58135.0,25,-2.7,4.1,6,Kansas
Clay,47226,52127.0,47517.0,70,10.4,-8.8,72,Kansas
Cloud,44388,47564.0,44536.0,91,7.2,-6.4,59,Kansas
Coffey,57129,59522.0,55623.0,31,4.2,-6.6,62,Kansas
Comanche,46115,50363.0,43400.0,96,9.2,-13.8,92,Kansas
Cowley,41969,43483.0,43664.0,95,3.6,0.4,23,Kansas
Crawford,43056,45203.0,45340.0,89,5,0.3,24,Kansas
Decatur,54034,57957.0,60732.0,15,7.3,4.8,3,Kansas
Dickinson,46165,49309.0,47397.0,73,6.8,-3.9,51,Kansas
Doniphan,46521,51252.0,47117.0,78,10.2,-8.1,71,Kansas
Douglas,48676,51852.0,52799.0,45,6.5,1.8,17,Kansas
Edwards,60719,69453.0,58536.0,23,14.4,-15.7,97,Kansas
Elk,40883,43195.0,39811.0,103,5.7,-7.8,69,Kansas
Ellis,50940,54414.0,56016.0,29,6.8,2.9,11,Kansas
Ellsworth,44864,48229.0,45694.0,85,7.5,-5.3,57,Kansas
Finney,45041,48330.0,49645.0,59,7.3,2.7,13,Kansas
Ford,44324,47093.0,47179.0,77,6.2,0.2,25,Kansas
Franklin,46103,49244.0,48375.0,66,6.8,-1.8,35,Kansas
Geary,47866,50749.0,50324.0,54,6,-0.8,32,Kansas
Gove,64608,80922.0,72994.0,6,25.3,-9.8,77,Kansas
Graham,54595,61443.0,51368.0,50,12.5,-16.4,98,Kansas
Grant,44558,45691.0,40684.0,102,2.5,-11.0,85,Kansas
Gray,66495,66373.0,65914.0,9,-0.2,-0.7,31,Kansas
Greeley,86809,100968.0,88148.0,2,16.3,-12.7,88,Kansas
Greenwood,46327,47809.0,42891.0,99,3.2,-10.3,80,Kansas
Hamilton,75761,72859.0,79482.0,3,-3.8,9.1,1,Kansas
Harper,56357,60523.0,58307.0,24,7.4,-3.7,47,Kansas
Harvey,47458,50317.0,50772.0,51,6,0.9,21,Kansas
Haskell,66122,73925.0,59322.0,20,11.8,-19.8,102,Kansas
Hodgeman,65243,67197.0,62195.0,11,3,-7.4,66,Kansas
Jackson,46818,50394.0,49154.0,62,7.6,-2.5,40,Kansas
Jefferson,50114,53748.0,53560.0,41,7.3,-0.3,30,Kansas
Jewell,55310,62428.0,46694.0,82,12.9,-25.2,104,Kansas
Johnson,79088,83008.0,90503.0,1,5,9.0,2,Kansas
Kearny,58493,62102.0,55390.0,33,6.2,-10.8,83,Kansas
Kingman,48941,53186.0,49785.0,57,8.7,-6.4,61,Kansas
Kiowa,51374,55693.0,43681.0,94,8.4,-21.6,103,Kansas
Labette,45584,47777.0,47816.0,67,4.8,0.1,27,Kansas
Lane,73604,79716.0,71071.0,7,8.3,-10.8,84,Kansas
Leavenworth,46924,49410.0,50002.0,56,5.3,1.2,20,Kansas
Lincoln,52705,52610.0,47223.0,74,-0.2,-10.2,79,Kansas
Linn,45412,47555.0,45751.0,84,4.7,-3.8,49,Kansas
Logan,59476,66462.0,59864.0,17,11.7,-9.9,78,Kansas
Lyon,44176,46871.0,46789.0,80,6.1,-0.2,28,Kansas
McPherson,54911,57500.0,57557.0,26,4.7,0.1,26,Kansas
Marion,46345,48660.0,45002.0,90,5,-7.5,67,Kansas
Marshall,47599,50423.0,45513.0,86,5.9,-9.7,76,Kansas
Meade,67492,76618.0,69285.0,8,13.5,-9.6,75,Kansas
Miami,54189,58344.0,59222.0,21,7.7,1.5,18,Kansas
Mitchell,69152,68490.0,63466.0,10,-1,-7.3,65,Kansas
Montgomery,40393,43372.0,43912.0,93,7.4,1.2,19,Kansas
Morris,50099,52176.0,49627.0,60,4.1,-4.9,56,Kansas
Morton,48720,56565.0,40869.0,101,16.1,-27.7,105,Kansas
Nemaha,58366,61428.0,59052.0,22,5.2,-3.9,50,Kansas
Neosho,43760,46270.0,45486.0,87,5.7,-1.7,34,Kansas
Ness,60930,68014.0,60994.0,14,11.6,-10.3,81,Kansas
Norton,48640,53018.0,51832.0,48,9,-2.2,38,Kansas
Osage,46897,49947.0,48581.0,64,6.5,-2.7,43,Kansas
Osborne,51456,56887.0,49275.0,61,10.6,-13.4,90,Kansas
Ottawa,46289,51194.0,48942.0,63,10.6,-4.4,54,Kansas
Pawnee,45689,49260.0,43956.0,92,7.8,-10.8,82,Kansas
Phillips,57768,66420.0,60487.0,16,15,-8.9,74,Kansas
Pottawatomie,56879,60383.0,61738.0,12,6.2,2.2,16,Kansas
Pratt,52106,56892.0,53260.0,42,9.2,-6.4,60,Kansas
Rawlins,66530,79578.0,76456.0,5,19.6,-3.9,52,Kansas
Reno,45508,47483.0,47727.0,68,4.3,0.5,22,Kansas
Republic,48158,52839.0,46289.0,83,9.7,-12.4,87,Kansas
Rice,47651,49625.0,48402.0,65,4.1,-2.5,41,Kansas
Riley,45640,48851.0,50261.0,55,7,2.9,12,Kansas
Rooks,46030,49653.0,43120.0,97,7.9,-13.2,89,Kansas
Rush,57665,63195.0,51940.0,47,9.6,-17.8,100,Kansas
Russell,50134,54598.0,52834.0,44,8.9,-3.2,44,Kansas
Saline,51212,55070.0,56999.0,27,7.5,3.5,8,Kansas
Scott,59967,62799.0,61365.0,13,4.7,-2.3,39,Kansas
Sedgwick,53098,57356.0,59772.0,18,8,4.2,4,Kansas
Seward,42190,45745.0,47415.0,71,8.4,3.7,7,Kansas
Shawnee,50511,53830.0,55466.0,32,6.6,3.0,9,Kansas
Sheridan,57053,58169.0,56637.0,28,2,-2.6,42,Kansas
Sherman,49553,55032.0,51638.0,49,11.1,-6.2,58,Kansas
Smith,55927,64222.0,54221.0,38,14.8,-15.6,96,Kansas
Stafford,49755,51809.0,47665.0,69,4.1,-8.0,70,Kansas
Stanton,84155,90913.0,77840.0,4,8,-14.4,93,Kansas
Stevens,50025,54888.0,50696.0,52,9.7,-7.6,68,Kansas
Sumner,43866,47378.0,45475.0,88,8,-4.0,53,Kansas
Thomas,49970,55220.0,54673.0,36,10.5,-1.0,33,Kansas
Trego,56100,60865.0,53707.0,39,8.5,-11.8,86,Kansas
Wabaunsee,53796,56877.0,55871.0,30,5.7,-1.8,36,Kansas
Wallace,60126,63589.0,53062.0,43,5.8,-16.6,99,Kansas
Washington,52862,55467.0,47050.0,79,4.9,-15.2,95,Kansas
Wichita,60209,58834.0,54687.0,35,-2.3,-7.0,64,Kansas
Wilson,45033,49202.0,47414.0,72,9.3,-3.6,46,Kansas
Woodson,42827,45866.0,39243.0,104,7.1,-14.4,94,Kansas
Wyandotte,36191,38363.0,38253.0,105,6,-0.3,29,Kansas
